Entity,Total military personnel,Active soldiers,Reserve forces,Paramilitary units,Total aircraft,Fighters/interceptors,Ground attack aircraft,Transport aircraft,Special aircraft,Tanker aircraft,Total helicopters,Combat helicopters,Main battle tanks,Armored vehicles,Self-propelled artillery,Towed artillery,Self-propelled rocket launchers,Total military ships,Aircraft carriers,Helicopter carriers,Destroyers,Frigates,Corvettes,Submarines,Patrol boats,Minesweepers
NATO,8658882,3439197,4343065,876620,22377,3312,1163,1479,889,658,9141,1416,11495,971280,3985,6325,1977,1143,16,14,101,128,67,148,488,181
Russia,3570000,1320000,2000000,250000,4292,833,689,456,141,19,1651,557,5750,131527,5168,8505,3005,419,1,0,10,12,83,63,123,47
